SM_Upper_Window_01_4m | (-1610, -1050, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_InteriorWall_01_2m | (-2621, -2015, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_2m | (-2698, -2412, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_1m | (-2848, -2412, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_Floor_4x3m | (-2758, -2215, 830) | vis=1 hid=0 | mat=MI_BathroomFloor01 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-2658, -1965, 830) | vis=1 hid=0 | mat=MI_BathroomFloor01 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-2758, -1965, 830) | vis=1 hid=0 | mat=MI_BathroomFloor01 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-2858, -1965, 830) | vis=1 hid=0 | mat=MI_BathroomFloor01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_4m | (-2308, -1558, 990) | vis=1 hid=0 | mat=MI_InteriorWall02 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_4m | (-1908, -1558, 990) | vis=1 hid=0 | mat=MI_InteriorWall02 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_0_5m | (-1683, -1558, 990) | vis=1 hid=0 | mat=MI_InteriorWall02 | tags= | actor=StaticMeshActor
SM_Upper_Window_01_3m_b_Interior | (-1620, -2000, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_01_3m_b_Glass | (-1617, -2002, 1022) | vis=1 hid=0 | mat=MI_Window_TwoSided | tags= | actor=StaticMeshActor
SM_Floor_4x4m | (-2408, -2227, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_4x4m | (-2008, -2227, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_4x4m | (-2008, -1827, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_4x3m | (-2358, -1827, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_4x1m | (-1758, -1827, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_4x1m | (-1658, -1827, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_4x1m | (-1758, -2227, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-1658, -2177, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-1658, -2077, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-1658, -1577, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-1758, -1577, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-1858, -1577, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-1958, -1577, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-2058, -1577, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-2158, -1577, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-2258, -1577, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-2358, -1577, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-2458, -1577, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_4m | (-1900, -2412, 990) | vis=1 hid=0 | mat=MI_InteriorWall02 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_2m | (-1728, -2315, 990) | vis=1 hid=0 | mat=MI_InteriorWall02 | tags= | actor=StaticMeshActor
SM_Floor_1x1m | (-2558, -1971, 830) | vis=1 hid=0 | mat=MI_Carpet03 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_0_5m | (-1636, -1558, 990) | vis=1 hid=0 | mat=MI_InteriorWall02 | tags= | actor=StaticMeshActor
SM_Ceiling_4x4m | (-2408, -2227, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_4x4m | (-2008, -2227, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_4x4m | (-2008, -1827, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_4x3m | (-2358, -1827, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_1x1m | (-2558, -1971, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_4x1m | (-2008, -1577, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_1x1m | (-2458, -1577, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_1x1m | (-2358, -1577, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_1x1m | (-2258, -1577, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_4x1m | (-1758, -1727, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_4x1m | (-1658, -1727, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_4x1m | (-1758, -2127, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_1x1m | (-1658, -1977, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_1x1m | (-1758, -2377, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_InteriorWall_01_Filler01 | (-1712, -2228, 990) | vis=1 hid=0 | mat=MI_InteriorWall02 | tags= | actor=StaticMeshActor
SM_Ceiling_1x1m | (-1658, -2077, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_1x1m | (-1658, -2177, 1134) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_4x3m | (-2758, -2215, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_1x1m | (-2658, -1965, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_1x1m | (-2758, -1965, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_1x1m | (-2858, -1965, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_InteriorWall_01_4m_b | (-2920, -2105, 980) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_1m_b | (-2920, -2355, 980) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_CeilingLight02 | (-2778, -2167, 1127) | vis=1 hid=0 | mat=MI_CeilingProps | tags= | actor=StaticMeshActor
SM_CeilingLight02 | (-2308, -2127, 1132) | vis=1 hid=0 | mat=MI_CeilingProps | tags= | actor=StaticMeshActor
SM_CeilingLight02 | (-1908, -1927, 1132) | vis=1 hid=0 | mat=MI_CeilingProps | tags= | actor=StaticMeshActor
SM_Upper_Window_03_2m_Interior | (-3250, -670, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_Upper_Window_04_4m_Interior | (-3550, -670, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags= | actor=StaticMeshActor
SM_InteriorWall_01_4m_Door01 | (-3408, -1482, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_4m | (-3808, -1482, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_3m_Door01 | (-3361, -835, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_Corner_1m_Int | (-3311, -1038, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_DoorFrameCommerical_01 | (-3347, -834, 951) | vis=1 hid=0 | mat=MI_InteriorTrim01 | tags= | actor=StaticMeshActor
SM_Door_Apartment01 | (-3336, -833, 945) | vis=1 hid=1 | mat=MI_InteriorTrim01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_3m_Door01 | (-3335, -835, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_1m | (-3335, -1035, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_2m | (-3138, -1062, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_1m | (-3100, -688, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_4m | (-3053, -885, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_1m | (-3288, -1062, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_4m | (-3161, -1285, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_1m | (-3208, -1088, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_Floor_4x4m | (-3948, -1285, 830) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x4m | (-3548, -1285, 830) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x1m | (-3298, -1285, 830) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x1m | (-3198, -1285, 830) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x4m | (-3548, -885, 830) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x3m | (-3198, -885, 830) | vis=1 hid=0 | mat=MI_BathroomFloor01 | tags= | actor=StaticMeshActor
SM_InteriorWall_01_0_5m | (-3183, -1482, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags= | actor=StaticMeshActor
SM_Ceiling_4x4m | (-3548, -885, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_4x4m | (-3948, -1285, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_4x4m | (-3548, -1285, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_4x3m | (-3298, -1285, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_Ceiling_4x3m | (-3198, -885, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags= | actor=StaticMeshActor
SM_CeilingLight02 | (-3748, -1085, 1147) | vis=1 hid=0 | mat=MI_CeilingProps | tags= | actor=StaticMeshActor
SM_CeilingLight02 | (-3398, -1285, 1147) | vis=1 hid=0 | mat=MI_CeilingProps | tags= | actor=StaticMeshActor
SM_CeilingLight02 | (-3198, -835, 1147) | vis=1 hid=0 | mat=MI_CeilingProps | tags= | actor=StaticMeshActor
SM_Floor_4x4m | (-3948, -1285, 1180) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x4m | (-3548, -1285, 1180) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x1m | (-3298, -1285, 1180) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x1m | (-3198, -1285, 1180) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x4m | (-3548, -885, 1180) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x3m | (-3198, -885, 1180) | vis=1 hid=0 | mat=MI_BathroomFloor01 | tags= | actor=StaticMeshActor
SM_Upper_Wall_01_1m | (-3018, -650, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Upper_Window_03_2m | (-2868, -660, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Upper_Window_04_4m | (-2568, -660, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Upper_Window_04_4m | (-2168, -660, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Upper_Wall_01_1m | (-1918, -650, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Upper_Window_04_4m_Glass | (-2564, -664, 1022) | vis=1 hid=0 | mat=MI_Window_TwoSided | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Upper_Window_04_4m_Glass | (-2164, -664, 1022) | vis=1 hid=0 | mat=MI_Window_TwoSided | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Upper_Window_03_2m_Glass | (-2868, -664, 1038) | vis=1 hid=0 | mat=MI_Window_TwoSided | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_2m | (-3010, -1508, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_1m | (-3160, -1508, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_4m_Door01 | (-2710, -1508, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_DoorFrameCommerical_01 | (-2709, -1495, 951) | vis=1 hid=0 | mat=MI_InteriorTrim01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_1m | (-2460, -1508, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Upper_Window_03_2m_Interior | (-2868, -670, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Upper_Window_04_4m_Interior | (-2568, -670, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Upper_Window_04_4m_Interior | (-2168, -670, 975) | vis=1 hid=0 | mat=MI_Stucco01_OffWhite | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_4m | (-1976, -885, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_4m | (-1976, -1285, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_4m_Door01 | (-2710, -1482, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_4m | (-2310, -1482, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_1m | (-2060, -1482, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_0_5m | (-1985, -1482, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_3m_Door01 | (-2757, -835, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_Corner_1m_Int | (-2807, -1038, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_DoorFrameCommerical_01 | (-2771, -834, 951) | vis=1 hid=0 | mat=MI_InteriorTrim01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_3m_Door01 | (-2783, -835, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_1m | (-2783, -1035, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_2m | (-2980, -1062, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_1m | (-3018, -688, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_4m | (-3065, -885, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_1m | (-2830, -1062, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_4m | (-2957, -1285, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_1m | (-2910, -1088, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Floor_4x4m | (-2170, -1285, 830) | vis=1 hid=0 | mat=MI_Carpet01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Floor_4x4m | (-2570, -1285, 830) | vis=1 hid=0 | mat=MI_Carpet01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Floor_4x1m | (-2820, -1285, 830) | vis=1 hid=0 | mat=MI_Carpet01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Floor_4x1m | (-2920, -1285, 830) | vis=1 hid=0 | mat=MI_Carpet01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Floor_4x4m | (-2170, -885, 830) | vis=1 hid=0 | mat=MI_Carpet01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Floor_4x4m | (-2570, -885, 830) | vis=1 hid=0 | mat=MI_Carpet01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Floor_4x3m | (-2920, -885, 830) | vis=1 hid=0 | mat=MI_BathroomFloor01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_InteriorWall_01_0_5m | (-2935, -1482, 990) | vis=1 hid=0 | mat=MI_InteriorWall01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Ceiling_4x4m | (-2170, -885, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Ceiling_4x4m | (-2570, -885, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Ceiling_4x4m | (-2170, -1285, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Ceiling_4x4m | (-2570, -1285, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Ceiling_4x3m | (-2820, -1285, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Ceiling_4x3m | (-2920, -885, 1150) | vis=1 hid=0 | mat=MI_CeilingPlaster | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_CeilingLight02 | (-2370, -1085, 1147) | vis=1 hid=0 | mat=MI_CeilingProps | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_CeilingLight02 | (-2720, -1285, 1147) | vis=1 hid=0 | mat=MI_CeilingProps | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_CeilingLight02 | (-2920, -835, 1147) | vis=1 hid=0 | mat=MI_CeilingProps | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Door_Apartment01 | (-2791, -833, 945) | vis=1 hid=1 | mat=MI_InteriorTrim01 | tags=STAMP_-2709_-1495_-90, | actor=StaticMeshActor
SM_Floor_4x4m | (-2170, -1285, 1180) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x4m | (-2570, -1285, 1180) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x1m | (-2820, -1285, 1180) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x1m | (-2920, -1285, 1180) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x4m | (-2170, -885, 1180) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x4m | (-2570, -885, 1180) | vis=1 hid=0 | mat=MI_Carpet01 | tags= | actor=StaticMeshActor
SM_Floor_4x3m | (-2920, -885, 1180) | vis=1 hid=0 | mat=MI_BathroomFloor01 | tags= | actor=StaticMeshActor
SM_CeilingLight02 | (-2308, -2127, 782) | vis=1 hid=0 | mat=MI_CeilingProps | tags= | actor=StaticMeshActor
SM_CeilingLight02 | (-1908, -1927, 782) | vis=1 hid=0 | mat=MI_CeilingProps | tags= | actor=StaticMeshActor
SM_CeilingLight02 | (-3108, -1697, 797) | vis=1 hid=0 | mat=MI_CeilingProps | tags= | actor=StaticMeshActor
SM_CeilingLight02 | (-3108, -1697, 1147) | vis=1 hid=0 | mat=MI_CeilingProps | tags= | actor=StaticMeshActor
SM_CeilingLight02 | (-2778, -2167, 777) | vis=1 hid=0 | mat=MI_CeilingProps | tags= | actor=StaticMeshActor
